"groupId","id","npc","contents","condition","next","branchId"
"power_room_pair","D025","자르","좋아. 굶어 죽기 전에만 와라.","Serial","D027",""
"power_room_pair","D026","자르","위험하지 않은 공단이 어딨냐.","Serial","D027",""
"power_room_pair","D027","게토로","전력실 온도 유지 중. 대기 가능 시간 계산 중입니다.","Serial","D028",""
"power_room_pair","D028","플레이어","기다려줘서 고마워요.","Serial","D029",""
"power_room_pair","D029","게토로","주문은 신뢰의 연산입니다.","Serial","",""
"power_room_pair","D030","플레이어","배달이 아니라… 요리를 들고 왔어요.","OrderEnd","D031",""
"power_room_pair","D031","자르","이름부터 말해봐.","Serial","D032",""
"power_room_pair","D032","플레이어","전력실 꼬치입니다.","Serial","D033",""
"power_room_pair","D033","게토로","절연 버섯 확인. 전류 흡수 가능성 높음.","Serial","D034",""
"power_room_pair","D034","자르","말뿐이면 화낸다.","Serial","D035",""
"power_room_pair","D035","플레이어","직접 확인해보죠.","Serial","D036",""
"power_room_pair","D036","내레이션","(전류가 꼬치를 스친다.)","Serial","D037",""
"power_room_pair","D037","게토로","풍미 안정 84%. 식용 가능.","Serial","D038",""
"power_room_pair","D038","자르","오… 안 타네.","Serial","D039",""
"power_room_pair","D039","플레이어","전류는 열로 바뀌게 만들었어요.","Serial","D040",""
"power_room_pair","D040","내레이션","(정전 발생)","Serial","D041",""
"power_room_pair","D041","자르","차단기 나갔다… 불 꺼졌는데 냄새는 남네.","Serial","D042",""
"power_room_pair","D042","게토로","열 잔존 확인. 따뜻함 지속.","Serial","D043",""
"power_room_pair","D043","플레이어","그러니까 먹죠.","Serial","D044",""
"power_room_pair","D044","자르","마지막 꼬치 하나 남았다. 누가 가지지?","Serial","","B004"
"power_room_pair","D045","자르","…배달꾼치곤 정 많네.","Serial","D048",""
"power_room_pair","D046","게토로","논리적이며 감정적으로 타당한 선택입니다.","Serial","D047",""
"power_room_pair","D047","자르","그 말, 마음에 든다.","Serial","D048",""
"power_room_pair","D048","게토로","전력은 끊겨도…","Serial","D049",""
"power_room_pair","D049","자르","배는 부르고.","Serial","D050",""
"power_room_pair","D050","플레이어","온도는 남네요.","Serial","D051",""
"power_room_pair","D051","게토로","퀘스트 완료. 관계 안정도 상승 확인.","Serial","",""
"sranya_solo","D100","스라냐","처음 보는 얼굴이네. 여긴 잘 안 오는 곳인데.","FirstMeet","D101",""
"sranya_solo","D101","플레이어","배달 다니다 보니 별 곳을 다 오게 되네요.","Serial","D102",""
"sranya_solo","D102","스라냐","그래… 조심해. 여긴 조용하지만 안전하진 않아.","Serial","",""
"sranya_solo","D103","스라냐","또 왔구나. 오늘은 어떤 바람이 불었어?","Normal","","B010"
"sranya_solo","D104","스라냐","그래, 바쁜 하루겠네.","Serial","",""
"sranya_solo","D105","스라냐","그냥 와줘서 고마워.","Serial","",""
"sranya_solo","D106","스라냐","부탁이 하나 있어. 새벽국 만들 수 있어?","QuestStart","D107",""
"sranya_solo","D107","플레이어","새벽국이요? 재료가 좀 특이하던데…","Serial","","B011"
"sranya_solo","D108","플레이어","구해볼게요. 새벽풀이 핵심이죠?","Serial","D109",""
"sranya_solo","D109","스라냐","맞아. 기다릴게.","Serial","",""
"sranya_solo","D110","스라냐","그래, 준비되면 다시 와.","Serial","",""
"sranya_solo","D111","스라냐","새벽국… 아직이야?","Ordering","","B012"
"sranya_solo","D112","스라냐","서두를 필요 없어. 천천히.","Serial","",""
"sranya_solo","D113","스라냐","고마워. 기다릴게.","Serial","",""
"sranya_solo","D114","플레이어","새벽국 가져왔어요.","OrderEnd","D115",""
"sranya_solo","D115","스라냐","…향이 좋다. 새벽 냄새가 나.","Serial","D116",""
"sranya_solo","D116","스라냐","고마워. 오랜만에 따뜻한 걸 먹겠네.","Serial","","B013"
"sranya_solo","D117","스라냐","…다음에도 와줘.","Serial","",""
"sranya_solo","D118","스라냐","그래. 또 보자.","Serial","",""
"pajama_solo","D200","파자마","으음… 누구야… 졸린데…","FirstMeet","D201",""
"pajama_solo","D201","플레이어","배달인데요. 깨워서 죄송합니다.","Serial","D202",""
"pajama_solo","D202","파자마","배달…? 아, 음식? 그럼 괜찮아.","Serial","",""
"pajama_solo","D203","파자마","오… 또 왔어? 방금 낮잠 자려고 했는데.","Normal","","B020"
"pajama_solo","D204","파자마","그래… 힘내…(하품)","Serial","",""
"pajama_solo","D205","파자마","졸려도 응원은 해줄게… zzz","Serial","",""
"pajama_solo","D206","파자마","있잖아… 구룡면 먹고 싶은데… 만들어줄 수 있어?","QuestStart","D207",""
"pajama_solo","D207","플레이어","구룡면? 면 요리네요.","Serial","","B021"
"pajama_solo","D208","플레이어","알겠어요. 만들어올게요.","Serial","D209",""
"pajama_solo","D209","파자마","고마워… 기다리면서 잘게…","Serial","",""
"pajama_solo","D210","파자마","아직은 괜찮아… 다음에 해줘.","Serial","",""
"pajama_solo","D211","파자마","구룡면… 아직…?(꾸벅)","Ordering","","B022"
"pajama_solo","D212","파자마","괜찮아… 자면서 기다릴게…","Serial","",""
"pajama_solo","D213","파자마","냄새만 나면 깰 수 있어…","Serial","",""
"pajama_solo","D214","플레이어","구룡면 가져왔어요. 일어나세요.","OrderEnd","D215",""
"pajama_solo","D215","파자마","(벌떡) 면이다! 국물 냄새…!","Serial","D216",""
"pajama_solo","D216","파자마","이걸로 한 삼 시간은 버틸 수 있겠다.","Serial","","B023"
"pajama_solo","D217","파자마","배달꾼 최고… 다음에도 부탁해…","Serial","",""
"pajama_solo","D218","파자마","이제 진짜 잘 수 있어… 고마워.","Serial","",""
"moai_solo","D300","모아이","…","FirstMeet","D301",""
"moai_solo","D301","플레이어","안녕하세요. 배달 왔습니다.","Serial","D302",""
"moai_solo","D302","모아이","……(고개를 끄덕인다)","Serial","",""
"moai_solo","D303","모아이","…왔군.","Normal","","B030"
"moai_solo","D304","모아이","…그래.","Serial","",""
"moai_solo","D305","모아이","(끄덕)","Serial","",""
"moai_solo","D306","모아이","…스테이크. 먹고 싶다.","QuestStart","D307",""
"moai_solo","D307","플레이어","스트리트 스테이크 49요? 고기 요리네요.","Serial","","B031"
"moai_solo","D308","플레이어","만들어올게요.","Serial","D309",""
"moai_solo","D309","모아이","…(기대하는 눈빛)","Serial","",""
"moai_solo","D310","모아이","…그래. 나중에.","Serial","",""
"moai_solo","D311","모아이","…아직?","Ordering","","B032"
"moai_solo","D312","모아이","…기다린다.","Serial","",""
"moai_solo","D313","모아이","(끄덕)","Serial","",""
"moai_solo","D314","플레이어","스테이크 가져왔습니다.","OrderEnd","D315",""
"moai_solo","D315","모아이","…!(눈이 커진다)","Serial","D316",""
"moai_solo","D316","모아이","…맛있다. 고맙다.","Serial","","B033"
"moai_solo","D317","모아이","…또 와라.","Serial","",""
"moai_solo","D318","모아이","(엄지를 치켜든다)","Serial","",""
"nimo_solo","D400","니모","오! 새 사람이다! 여기 사람 안 오는데!","FirstMeet","D401",""
"nimo_solo","D401","플레이어","배달 왔어요. 여기도 배달 구역이라서.","Serial","D402",""
"nimo_solo","D402","니모","대박! 배달이 여기까지 와? 세상 좋아졌다!","Serial","",""
"nimo_solo","D403","니모","왔다왔다! 오늘은 뭐 가져왔어?","Normal","","B040"
"nimo_solo","D404","니모","에이~ 그래도 와줬잖아! 고마워!","Serial","",""
"nimo_solo","D405","니모","괜찮아괜찮아! 다음에 뭐 맛있는 거 기대할게!","Serial","",""
"nimo_solo","D406","니모","있잖아, 삼각밥 먹어본 적 있어? 폐건물 삼각밥!","QuestStart","D407",""
"nimo_solo","D407","플레이어","폐건물 삼각밥? 이름이 독특하네요.","Serial","","B041"
"nimo_solo","D408","플레이어","만들어볼게요!","Serial","D409",""
"nimo_solo","D409","니모","진짜?! 최고! 기다릴게!","Serial","",""
"nimo_solo","D410","니모","아~ 알겠어! 나중에 꼭 해줘!","Serial","",""
"nimo_solo","D411","니모","삼각밥! 삼각밥! 아직이야?","Ordering","","B042"
"nimo_solo","D412","니모","알겠어! 기다리는 것도 재밌으니까!","Serial","",""
"nimo_solo","D413","니모","천천히 해도 돼! 근데 빨리 오면 더 좋아!","Serial","",""
"nimo_solo","D414","플레이어","삼각밥 가져왔어요!","OrderEnd","D415",""
"nimo_solo","D415","니모","우와아아! 진짜 만들어왔어?!","Serial","D416",""
"nimo_solo","D416","니모","맛있다! 이건 진짜 최고야!","Serial","","B043"
"nimo_solo","D417","니모","배달꾼 짱! 또 만들어줘!","Serial","",""
"nimo_solo","D418","니모","다음에 또 올 거지? 약속이다!","Serial","",""
"lede_solo","D500","레데","실례합니다. 이 구역에 무슨 일이신지?","FirstMeet","D501",""
"lede_solo","D501","플레이어","배달 왔습니다.","Serial","D502",""
"lede_solo","D502","레데","배달이라… 이런 곳까지 오시다니. 수고가 많으십니다.","Serial","",""
"lede_solo","D503","레데","다시 뵙게 되었군요. 잘 지내셨습니까?","Normal","","B050"
"lede_solo","D504","레데","그렇군요. 항상 건강이 우선입니다.","Serial","",""
"lede_solo","D505","레데","몸 조심하십시오. 이 구역은 위험하니까요.","Serial","",""
"lede_solo","D506","레데","부탁드릴 것이 있습니다. 고기정식을 만들어주실 수 있겠습니까?","QuestStart","D507",""
"lede_solo","D507","플레이어","기계장 고기정식이요?","Serial","","B051"
"lede_solo","D508","플레이어","준비해오겠습니다.","Serial","D509",""
"lede_solo","D509","레데","감사합니다. 기다리겠습니다.","Serial","",""
"lede_solo","D510","레데","괜찮습니다. 준비가 되시면 말씀해주세요.","Serial","",""
"lede_solo","D511","레데","혹시 진행 상황이 어떠신지요?","Ordering","","B052"
"lede_solo","D512","레데","천천히 하십시오. 서두를 필요 없습니다.","Serial","",""
"lede_solo","D513","레데","알겠습니다. 기다리겠습니다.","Serial","",""
"lede_solo","D514","플레이어","고기정식 가져왔습니다.","OrderEnd","D515",""
"lede_solo","D515","레데","오… 정성이 느껴지는군요.","Serial","D516",""
"lede_solo","D516","레데","훌륭합니다. 감사히 잘 먹겠습니다.","Serial","","B053"
"lede_solo","D517","레데","다음에도 인연이 닿길 바랍니다.","Serial","",""
"lede_solo","D518","레데","좋은 하루 되십시오.","Serial","",""
